title	type	tags	releasedAt	weight	cover	localAudioOrURL	localPdfOrURL	preview	sourceURL	href	listenURL	listenProvider	spotifyType
Kingdom of the Blooming Quill (English Edition)	book	English Edition;ASIN:B0DVMSQYV7;price:¥0	2025-01-30		https://m.media-amazon.com/images/I/81lJuCCeJ5L._AC_SL1500_.jpg				https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DVMSQYV7/ref=sr_1_3?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.BdgOZylAMBV1fqhHeDcA0XIMVGoOpup29e100-f_x-2xyghSFpiIfPHgNS38XXkbyjO1TNBaj-rOtNUgC8RbgrA0p3rnBB5mc8NFXrqUfCuFut8V1hfnBZyqRzblYdbxuNWtjfwmUZbt9noiBKnlcm0_G9vAI0FBNUr2-lQ4VVkeHjhlVjUFfAzU5L1mdDvcd8LdLTyV1gLDdndBxq09zftJi0uKVzFgc9AAciuwQbE.8Xr2_TzFuHiSh-D2hHrfnO90oHym4ksL01bUJ2BXpXI&dib_tag=se&keywords=abi+hakusyaku&qid=1757938677&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-3	https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DVMSQYV7/ref=sr_1_3?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.BdgOZylAMBV1fqhHeDcA0XIMVGoOpup29e100-f_x-2xyghSFpiIfPHgNS38XXkbyjO1TNBaj-rOtNUgC8RbgrA0p3rnBB5mc8NFXrqUfCuFut8V1hfnBZyqRzblYdbxuNWtjfwmUZbt9noiBKnlcm0_G9vAI0FBNUr2-lQ4VVkeHjhlVjUFfAzU5L1mdDvcd8LdLTyV1gLDdndBxq09zftJi0uKVzFgc9AAciuwQbE.8Xr2_TzFuHiSh-D2hHrfnO90oHym4ksL01bUJ2BXpXI&dib_tag=se&keywords=abi+hakusyaku&qid=1757938677&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-3		none	none
The Mirror of Falling Stars (English Edition)	book	English Edition;ASIN:B0DVMZHQ1G;price:¥0	2025-01-30		https://m.media-amazon.com/images/I/81BE4e1YfsL._AC_SL1500_.jpg				https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DVMZHQ1G/ref=sr_1_15?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.BdgOZylAMBV1fqhHeDcA0XIMVGoOpup29e100-f_x-2xyghSFpiIfPHgNS38XXkbyjO1TNBaj-rOtNUgC8RbgrA0p3rnBB5mc8NFXrqUfCuFut8V1hfnBZyqRzblYdbxuNWtjfwmUZbt9noiBKnlcm0_G9vAI0FBNUr2-lQ4VVkeHjhlVjUFfAzU5L1mdDvcd8LdLTyV1gLDdndBxq09zftJi0uKVzFgc9AAciuwQbE.8Xr2_TzFuHiSh-D2hHrfnO90oHym4ksL01bUJ2BXpXI&dib_tag=se&keywords=abi+hakusyaku&qid=1757938677&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-15	https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DVMZHQ1G/ref=sr_1_15?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.BdgOZylAMBV1fqhHeDcA0XIMVGoOpup29e100-f_x-2xyghSFpiIfPHgNS38XXkbyjO1TNBaj-rOtNUgC8RbgrA0p3rnBB5mc8NFXrqUfCuFut8V1hfnBZyqRzblYdbxuNWtjfwmUZbt9noiBKnlcm0_G9vAI0FBNUr2-lQ4VVkeHjhlVjUFfAzU5L1mdDvcd8LdLTyV1gLDdndBxq09zftJi0uKVzFgc9AAciuwQbE.8Xr2_TzFuHiSh-D2hHrfnO90oHym4ksL01bUJ2BXpXI&dib_tag=se&keywords=abi+hakusyaku&qid=1757938677&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-15		none	none
THE CROWNLESS THRONE (English Edition)	book	English Edition;ASIN:B0DVQCSWW7;price:¥0	2025-01-31		https://m.media-amazon.com/images/I/81y4JmFyHbL._AC_SL1500_.jpg				https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DVQCSWW7/ref=sr_1_11?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.BdgOZylAMBV1fqhHeDcA0XIMVGoOpup29e100-f_x-2xyghSFpiIfPHgNS38XXkbyjO1TNBaj-rOtNUgC8RbgrA0p3rnBB5mc8NFXrqUfCuFut8V1hfnBZyqRzblYdbxuNWtjfwmUZbt9noiBKnlcm0_G9vAI0FBNUr2-lQ4VVkeHjhlVjUFfAzU5L1mdDvcd8LdLTyV1gLDdndBxq09zftJi0uKVzFgc9AAciuwQbE.8Xr2_TzFuHiSh-D2hHrfnO90oHym4ksL01bUJ2BXpXI&dib_tag=se&keywords=abi+hakusyaku&qid=1757938677&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-11	https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DVQCSWW7/ref=sr_1_11?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.BdgOZylAMBV1fqhHeDcA0XIMVGoOpup29e100-f_x-2xyghSFpiIfPHgNS38XXkbyjO1TNBaj-rOtNUgC8RbgrA0p3rnBB5mc8NFXrqUfCuFut8V1hfnBZyqRzblYdbxuNWtjfwmUZbt9noiBKnlcm0_G9vAI0FBNUr2-lQ4VVkeHjhlVjUFfAzU5L1mdDvcd8LdLTyV1gLDdndBxq09zftJi0uKVzFgc9AAciuwQbE.8Xr2_TzFuHiSh-D2hHrfnO90oHym4ksL01bUJ2BXpXI&dib_tag=se&keywords=abi+hakusyaku&qid=1757938677&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-11		none	none
GPT Chain	book	ASIN:B0DVQVD9F8;price:¥0	2025-02-01		https://m.media-amazon.com/images/I/91RAGQk55zL._AC_SL1500_.jpg				https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DVQVD9F8/ref=sr_1_1?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.BdgOZylAMBV1fqhHeDcA0XIMVGoOpup29e100-f_x-2xyghSFpiIfPHgNS38XXkbyjO1TNBaj-rOtNUgC8RbgrA0p3rnBB5mc8NFXrqUfCuFut8V1hfnBZyqRzblYdbxuNWtjfwmUZbt9noiBKnlcm0_G9vAI0FBNUr2-lQ4VVkeHjhlVjUFfAzU5L1mdDvcd8LdLTyV1gLDdndBxq09zftJi0uKVzFgc9AAciuwQbE.8Xr2_TzFuHiSh-D2hHrfnO90oHym4ksL01bUJ2BXpXI&dib_tag=se&keywords=abi+hakusyaku&qid=1757938677&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-1	https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DVQVD9F8/ref=sr_1_1?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.BdgOZylAMBV1fqhHeDcA0XIMVGoOpup29e100-f_x-2xyghSFpiIfPHgNS38XXkbyjO1TNBaj-rOtNUgC8RbgrA0p3rnBB5mc8NFXrqUfCuFut8V1hfnBZyqRzblYdbxuNWtjfwmUZbt9noiBKnlcm0_G9vAI0FBNUr2-lQ4VVkeHjhlVjUFfAzU5L1mdDvcd8LdLTyV1gLDdndBxq09zftJi0uKVzFgc9AAciuwQbE.8Xr2_TzFuHiSh-D2hHrfnO90oHym4ksL01bUJ2BXpXI&dib_tag=se&keywords=abi+hakusyaku&qid=1757938677&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-1		none	none
Whispers Among the Parchments (English Edition)	book	English Edition;ASIN:B0DVVGRRC9;price:¥0	2025-02-02		https://m.media-amazon.com/images/I/81HcCMLJn6L._AC_SL1500_.jpg				https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DVVGRRC9/ref=sr_1_22?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.aoVzzoMo6dSKs-m0vkp3iCuol9E_592CDTXxYPtRPj6mV3FSEsE_m_qWyL4vKnUSQEqvm_fC9YGKz7xSHirX5FgaoIpZHBLPqVwnJzIGWP8.DfAI-T-8kj93ZHUr7J4bsAc129gndLS4kpTUsNreu2g&dib_tag=se&keywords=abi+hakusyaku&qid=1757938700&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-22	https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DVVGRRC9/ref=sr_1_22?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.aoVzzoMo6dSKs-m0vkp3iCuol9E_592CDTXxYPtRPj6mV3FSEsE_m_qWyL4vKnUSQEqvm_fC9YGKz7xSHirX5FgaoIpZHBLPqVwnJzIGWP8.DfAI-T-8kj93ZHUr7J4bsAc129gndLS4kpTUsNreu2g&dib_tag=se&keywords=abi+hakusyaku&qid=1757938700&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-22		none	none
A ROSE FROM THE ASHES (English Edition)	book	English Edition;ASIN:B0DW17W6CS;price:¥0	2025-02-03		https://m.media-amazon.com/images/I/81jDBTcuA+L._AC_SL1500_.jpg				https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DW17W6CS/ref=sr_1_7?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.BdgOZylAMBV1fqhHeDcA0XIMVGoOpup29e100-f_x-2xyghSFpiIfPHgNS38XXkbyjO1TNBaj-rOtNUgC8RbgrA0p3rnBB5mc8NFXrqUfCuFut8V1hfnBZyqRzblYdbxuNWtjfwmUZbt9noiBKnlcm0_G9vAI0FBNUr2-lQ4VVkeHjhlVjUFfAzU5L1mdDvcd8LdLTyV1gLDdndBxq09zftJi0uKVzFgc9AAciuwQbE.8Xr2_TzFuHiSh-D2hHrfnO90oHym4ksL01bUJ2BXpXI&dib_tag=se&keywords=abi+hakusyaku&qid=1757938677&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-7	https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DW17W6CS/ref=sr_1_7?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.BdgOZylAMBV1fqhHeDcA0XIMVGoOpup29e100-f_x-2xyghSFpiIfPHgNS38XXkbyjO1TNBaj-rOtNUgC8RbgrA0p3rnBB5mc8NFXrqUfCuFut8V1hfnBZyqRzblYdbxuNWtjfwmUZbt9noiBKnlcm0_G9vAI0FBNUr2-lQ4VVkeHjhlVjUFfAzU5L1mdDvcd8LdLTyV1gLDdndBxq09zftJi0uKVzFgc9AAciuwQbE.8Xr2_TzFuHiSh-D2hHrfnO90oHym4ksL01bUJ2BXpXI&dib_tag=se&keywords=abi+hakusyaku&qid=1757938677&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-7		none	none
Shadows of the New Dawn (English Edition)	book	English Edition;ASIN:B0DVXQ3QDY;price:¥0	2025-02-03		https://m.media-amazon.com/images/I/81+Rm+gKsHL._AC_SL1500_.jpg				https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DVXQ3QDY/ref=sr_1_10?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.BdgOZylAMBV1fqhHeDcA0XIMVGoOpup29e100-f_x-2xyghSFpiIfPHgNS38XXkbyjO1TNBaj-rOtNUgC8RbgrA0p3rnBB5mc8NFXrqUfCuFut8V1hfnBZyqRzblYdbxuNWtjfwmUZbt9noiBKnlcm0_G9vAI0FBNUr2-lQ4VVkeHjhlVjUFfAzU5L1mdDvcd8LdLTyV1gLDdndBxq09zftJi0uKVzFgc9AAciuwQbE.8Xr2_TzFuHiSh-D2hHrfnO90oHym4ksL01bUJ2BXpXI&dib_tag=se&keywords=abi+hakusyaku&qid=1757938677&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-10	https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DVXQ3QDY/ref=sr_1_10?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.BdgOZylAMBV1fqhHeDcA0XIMVGoOpup29e100-f_x-2xyghSFpiIfPHgNS38XXkbyjO1TNBaj-rOtNUgC8RbgrA0p3rnBB5mc8NFXrqUfCuFut8V1hfnBZyqRzblYdbxuNWtjfwmUZbt9noiBKnlcm0_G9vAI0FBNUr2-lQ4VVkeHjhlVjUFfAzU5L1mdDvcd8LdLTyV1gLDdndBxq09zftJi0uKVzFgc9AAciuwQbE.8Xr2_TzFuHiSh-D2hHrfnO90oHym4ksL01bUJ2BXpXI&dib_tag=se&keywords=abi+hakusyaku&qid=1757938677&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-10		none	none
Stormlight Over Rivermoor (English Edition)	book	English Edition;ASIN:B0DW1JVWMZ;price:¥0	2025-02-03		https://m.media-amazon.com/images/I/81TL64DOE7L._AC_SL1500_.jpg				https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DW1JVWMZ/ref=sr_1_20?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.aoVzzoMo6dSKs-m0vkp3iCuol9E_592CDTXxYPtRPj6mV3FSEsE_m_qWyL4vKnUSQEqvm_fC9YGKz7xSHirX5FgaoIpZHBLPqVwnJzIGWP8.DfAI-T-8kj93ZHUr7J4bsAc129gndLS4kpTUsNreu2g&dib_tag=se&keywords=abi+hakusyaku&qid=1757938700&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-20	https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DW1JVWMZ/ref=sr_1_20?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.aoVzzoMo6dSKs-m0vkp3iCuol9E_592CDTXxYPtRPj6mV3FSEsE_m_qWyL4vKnUSQEqvm_fC9YGKz7xSHirX5FgaoIpZHBLPqVwnJzIGWP8.DfAI-T-8kj93ZHUr7J4bsAc129gndLS4kpTUsNreu2g&dib_tag=se&keywords=abi+hakusyaku&qid=1757938700&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-20		none	none
The Sable Veil of Winterhall (English Edition)	book	English Edition;ASIN:B0DW1DSF6F;price:¥0	2025-02-03		https://m.media-amazon.com/images/I/81b9ogfOUVL._AC_SL1500_.jpg				https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DW1DSF6F/ref=sr_1_6?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.BdgOZylAMBV1fqhHeDcA0XIMVGoOpup29e100-f_x-2xyghSFpiIfPHgNS38XXkbyjO1TNBaj-rOtNUgC8RbgrA0p3rnBB5mc8NFXrqUfCuFut8V1hfnBZyqRzblYdbxuNWtjfwmUZbt9noiBKnlcm0_G9vAI0FBNUr2-lQ4VVkeHjhlVjUFfAzU5L1mdDvcd8LdLTyV1gLDdndBxq09zftJi0uKVzFgc9AAciuwQbE.8Xr2_TzFuHiSh-D2hHrfnO90oHym4ksL01bUJ2BXpXI&dib_tag=se&keywords=abi+hakusyaku&qid=1757938677&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-6	https://www.amazon.co.jp/-/en/ABI-Hakusyaku-ebook/dp/B0DW1DSF6F/ref=sr_1_6?crid=26Z3QFBGCDZBD&dib=eyJ2IjoiMSJ9.BdgOZylAMBV1fqhHeDcA0XIMVGoOpup29e100-f_x-2xyghSFpiIfPHgNS38XXkbyjO1TNBaj-rOtNUgC8RbgrA0p3rnBB5mc8NFXrqUfCuFut8V1hfnBZyqRzblYdbxuNWtjfwmUZbt9noiBKnlcm0_G9vAI0FBNUr2-lQ4VVkeHjhlVjUFfAzU5L1mdDvcd8LdLTyV1gLDdndBxq09zftJi0uKVzFgc9AAciuwQbE.8Xr2_TzFuHiSh-D2hHrfnO90oHym4ksL01bUJ2BXpXI&dib_tag=se&keywords=abi+hakusyaku&qid=1757938677&s=digital-text&sprefix=abi+hakusyaku%2Cdigital-text%2C334&sr=1-6		none	none
かがみインダストリーズ	book	ASIN:B0DW1LDFH8;price:¥0	2025-02-03		https://m.media-amazon.com/images/I/81Mk3inuOhL._AC_SL1500_.jpg				https://www.amazon.co.jp/-/en/ABI%E4%BC%AF%E7%88%B5-ebook/dp/B0DW1LDFH8/ref=sr_1_92?crid=2NBIYZ61UHIFL&dib=eyJ2IjoiMSJ9.Jt8aFpsAkC9dbgZJukxwyR5l4kusiW3e6kOa1yoblarq6di07ym3GgqKDo33f6F--LylXBiqhKpHEtAD90YtyPDE6ADl31ahJ97hi6KJGiLPQB0UB3pkcRWA2nDn5MmY4d1JeLZAk9eF5jFO83MH1JC4r6ULNBv1g_VEnaE6wvv_LajDjx0LTXgBegsJzbUQMl50RSsyX-beRqfIxzrN6b8DG0QBy3a5MzYxG3P3ps8.Tk0-T5sG5AfyIDxXeM1z_hWh7pjPntNuqCzaa_UCKcE&dib_tag=se&keywords=abi%E4%BC%AF%E7%88%B5&qid=1757937201&s=digital-text&sprefix=%2Cdigital-text%2C403&sr=1-92	https://www.amazon.co.jp/-/en/ABI%E4%BC%AF%E7%88%B5-ebook/dp/B0DW1LDFH8/ref=sr_1_92?crid=2NBIYZ61UHIFL&dib=eyJ2IjoiMSJ9.Jt8aFpsAkC9dbgZJukxwyR5l4kusiW3e6kOa1yoblarq6di07ym3GgqKDo33f6F--LylXBiqhKpHEtAD90YtyPDE6ADl31ahJ97hi6KJGiLPQB0UB3pkcRWA2nDn5MmY4d1JeLZAk9eF5jFO83MH1JC4r6ULNBv1g_VEnaE6wvv_LajDjx0LTXgBegsJzbUQMl50RSsyX-beRqfIxzrN6b8DG0QBy3a5MzYxG3P3ps8.Tk0-T5sG5AfyIDxXeM1z_hWh7pjPntNuqCzaa_UCKcE&dib_tag=se&keywords=abi%E4%BC%AF%E7%88%B5&qid=1757937201&s=digital-text&sprefix=%2Cdigital-text%2C403&sr=1-92		none	none
