id,poemLen,headingLeak,nonHan,sample
1,4,false,false,"七寶浮圖塔 / 高峰頂上安 / 眾人皆仰望 / 莫作等閒看"
2,4,false,false,"月被浮雲翳 / 立事自昏迷 / 幸乞隂公祐 / 何慮不開眉"
3,4,true,true,"青霄一炷香 / 雖然防小過 / 閑慮覺時長 / 第三籤 凶 愁惱 損忠良 層層疊疊嘆氣與苦惱，被回報的事很少吧。 青霄一炷香 就像向著天燒香祈禱般地，你的願望無法傳達天聽吧。 雖然防"
4,4,false,false,"累有興雲志 / 君恩祿未封 / 若逢侯手印 / 好事始總總"
5,4,true,true,"家道未能昌 / 危危保禍殃 / 暗雲侵月桂 / 第五 凶 家道未能昌 就算試著努力家業，和努力相比卻難以繁盛起來吧。 危危保禍殃 不是一生災禍，只是危險的事比較"
6,4,true,true,"人事有爻訛 / 傷財防損失 / 祈福始中和 / 第六 末吉 宅墓鬼凶多 家中恐怕有災禍。行為慎重，抱著深深的信心，這樣可以帶來好的結果。 人事有爻訛 個"
7,4,false,false,"登舟待便風 / 月色暗朦朧 / 欲輾香輪去 / 高山千萬重"
8,4,false,false,"勿頭中見尾 / 文華須得理 / 禾刀自偶然 / 當遇非常喜"
9,4,false,false,"有名須得遇 / 三望一朝遷 / 貴人來指處 / 華菓應時鮮"
10,4,false,false,"舊用多成破 / 新更始見財 / 改求雲外望 / 枯木遇春開"
11,4,false,false,"有祿興家業 / 文華達帝都 / 雲中乘好箭 / 兼得貴人扶"
12,4,false,false,"楊柳遇春時 / 殘花發舊枝 / 重重霜雪裡 / 黃金色更輝"
13,4,true,true,"東君發舊枝 / 稼苗方欲秀 / 猶更上雲梯 / 第十三 大吉 手把大陽輝 如果時機來到的話，抱著勇氣努力做事，可以過著充實的生活吧。 東君發舊枝 就像是老枝條，隨著春天"
14,4,false,false,"玉石未分時 / 憂心轉更悲 / 前途通大道 / 花發應殘枝"
15,4,false,false,"年乖數亦孤 / 久病未能蘇 / 岸危舟未發 / 龍臥失明珠"
16,4,false,false,"破改重成望 / 前途喜亦寧 / 貴人相助處 / 祿馬照前程"
17,4,true,true,"：音同怪字，奇異之意，為「怪」之異體字（見 http://140.111.1.40/y / itia/fra/fra01325.htm ） 籤解翻譯係依日文原句結構直譯，不符中文 / 流行語法，以表忠實 。 日文用辭一向比台灣生活用語含蓄，日文的「好吧」就是可以，「不好 / 吧」意即絕對不行。所以在日文提及「要檢討」、「有疑慮」的，就已經有著明確的否定意味"
18,4,false,false,"離暗出明時 / 麻衣變綠衣 / 舊憂終是退 / 遇祿應交輝"
19,4,false,false,"家道生荊棘 / 兒孫防虎威 / 香前祈福厚 / 方得免分離"
20,4,false,false,"月出漸分明 / 家財每每興 / 何言先有滯 / 更變立功名"
21,4,true,true,"洗出經年否 / 光華得再清 / 重日照前程 / 第二十一 吉 洗出經年否 像是至今為止的壞事已被洗去般地，變成輕鬆暢快的狀況吧。 光華得再清 好事再度發生"
22,4,false,false,"漸漸濃雲散 / 看看月再明 / 逢春華菓秀 / 雨過竹重青"
23,4,false,false,"紅雲隨步起 / 一箭中青霄 / 鹿行千里遠 / 爭知去路遙"
24,4,false,false,"三女莫相逢 / 盟言說未通 / 門裡心肝掛 / 縞素子重重"
25,4,false,false,"枯木逢春生 / 前途必利亨 / 亦得佳人箭 / 乘車祿自行"
26,4,false,false,"將軍有異聲 / 進兵萬里程 / 爭知臨敵處 / 道勝却虛名"
27,4,false,false,"望祿應重山 / 花紅喜悅顏 / 舉頭看皎月 / 漸出黑雲間"
28,4,false,false,"意速無船渡 / 波深必誤身 / 切須回舊路 / 方可免災"
29,4,false,false,"憂轗漸消融 / 求名得再通 / 寶財臨祿位 / 當遇主人公"
30,4,false,false,"仙鶴立高枝 / 防他暗箭虧 / 井畔剛刀利 / 戶內更防危"
31,4,false,false,"鯤鯨未變時 / 且守碧潭溪 / 風雲興巨浪 / 一息過天涯"
32,4,false,false,"似玉藏深石 / 休將故眼看 / 一朝良匠別 / 方見寶光寒"
33,4,false,false,"枯木逢春艷 / 芳菲再發林 / 雲間方見月 / 前遇貴人欽"
34,4,false,false,"臘木春將至 / 芳菲喜再新 / 鯤鯨興巨浪 / 舉鉤祿為真"
35,4,false,false,"射鹿須乘箭 / 故僧引路歸 / 遇道同仙籍 / 光華映晚暉"
36,4,false,false,"先損後有益 / 如月之剝蝕 / 玉兔待重生 / 光華當滿室"
37,4,false,false,"第三十七 / 陰靉未能通 / 求名亦未逢 / 幸然須有變"
38,4,false,false,"月照天書靜 / 雲生霧彩霞 / 久想離庭客 / 無事惹咨嗟"
39,4,false,false,"望用方心腹 / 家鄉被火災 / 憂危三五度 / 由損斷頭財"
40,4,false,false,"中正方成道 / 姦邪恐惹愆 / 壺中盛妙藥 / 非久去煩煎"
41,4,false,false,"有物不周旋 / 須防損半邊 / 家鄉煙火裡 / 祈福始安然"
42,4,false,false,"桂華春將到 / 雲天好進程 / 貴人相遇處 / 暗月再分明"
43,4,false,false,"月桂將相滿 / 追鹿映山溪 / 貴人乘遠箭 / 好事始相宜"
44,4,true,true,"盤中黑白子 / 天龍降甘澤 / 喜出舊根基 / 第四十四 吉 盤中黑白子 就像在下圍棋當中的輸贏一樣，人生的吉或凶也還沒確定吧。 一著要先機 勝負的事或人生都是要取得先機比"
45,4,false,false,"有意興高顯 / 祿馬引前程 / 得遇雲中箭 / 芝蘭滿路生"
46,4,false,false,"雷發震天昏 / 佳人獨掩門 / 交加文書上 / 無事也遭迍"
47,4,true,true,"：「去」的異體字（見http://140.111.1.40/yitia/fra/ / fra00466.htm） 籤解翻譯係依日文原句結構直譯，不符中文流行語法，以表 / 忠實 。 日文用辭一向比台灣生活用語含蓄，日文的「好吧」就是可以，「不好吧」意即 / 絕對不行。所以在日文提及「要檢討」、「有疑慮」的，就已經有著明確的否定意味"
48,4,false,false,"見祿隔前溪 / 勞心休更迷 / 一朝逢好渡 / 鸞鳳入雲飛"
49,4,false,false,"正好中秋月 / 蟾蜍皎潔間 / 暗雲知何處 / 故故兩相攀"
50,4,true,true,"：與達字同音，「達」的異體字（ http://140.111.1.40/yitia/ / fra/fra04161.htm ） 籤解翻譯係依日文原句結構直譯，不符中文流行語法 / ，以表忠實 。 日文用辭一向比台灣生活用語含蓄，日文的「好吧」就是可以，「不好吧」意 / 即絕對不行。所以在日文提及「要檢討」、「有疑慮」的，就已經有著明確的否定意味"
51,4,false,false,"修進甚功辛 / 勞生未得時 / 騰身遊碧漢 / 方得遇高枝"
52,4,true,true,"： 罪。見說文解字，過錯、罪過的意思，為「 愆 」之異體（音ㄑㄧㄢ）。 http://140.111.1.40/y / itin/frn/frn00188.htm http://140.111.1.40/yitib/frb/frb01 / 150.htm 籤解翻譯係依日文原句結構直譯，不符中文流行語法，以表忠實 。 日文用辭一向比台灣生活用語含蓄，日文 / 的「好吧」就是可以，「不好吧」意即絕對不行。所以在日文提及「要檢討」、「有疑慮」的，就已經有著明確的否定意味"
53,4,false,false,"久困漸能安 / 雲書降印權 / 殘花終結實 / 時亨祿自遷"
54,4,false,false,"身同意不同 / 月蝕暗長空 / 輪雖常在手 / 魚水未相逢"
55,4,false,false,"雲散月重明 / 天書得誌誠 / 雖然多阻滯 / 花發再重榮"
56,4,false,false,"生涯喜又憂 / 未老先白頭 / 勞心千百度 / 芳遇貴人留"
57,4,false,false,"欲渡長江闊 / 波深未自儔 / 前津逢浪靜 / 重整鉤鰲鉤"
58,4,false,false,"有徑江海隔 / 車行峻嶺危 / 亦防多進退 / 猶恐小人虧"
59,4,false,false,"去住心無定 / 行藏亦未寧 / 一輪清皎潔 / 却被黑雲乘"
60,4,false,false,"高危安可涉 / 平坦是延年 / 守道當逢泰 / 風雲不偶然"
61,4,false,false,"舊愆何日解 / 戶內保嬋娟 / 要逢十一口 / 遇鼠過牛邊"
62,4,false,false,"災轗時時退 / 名顯四方揚 / 改故重乘祿 / 昴高福自昌"
63,4,false,false,"何故生荊棘 / 家人意漸疏 / 久困重輪下 / 黃金未出渠"
64,4,false,false,"安居且慮危 / 情深主別離 / 風飄波浪急 / 鴛鴦各自飛"
65,4,false,false,"苦病兼防辱 / 乘危亦未穌 / 若見一陽後 / 方可作良圖"
66,4,false,false,"水滯少波濤 / 飛鴻落羽毛 / 重憂心緒亂 / 閑事惹風騷"
67,4,false,false,"枯木未生枝 / 獨步上雲岐 / 豈知身未穩 / 獨自惹閑非"
68,4,false,false,"異夢生英傑 / 前來事可疑 / 芳菲春日暖 / 依舊發殘枝"
69,4,false,false,"明月暗雲浮 / 花紅一半枯 / 惹事傷心處 / 行舟莫遠圖"
