"id","front","back","f_w","f_h","b_w","b_h","f_size","b_size","issues"
"001","C:\Users\Nicol\musiam-front\src\data\kannon100\001\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\001\back.jpg","751","1057","767","1068","209569","211715",""
"002","C:\Users\Nicol\musiam-front\src\data\kannon100\002\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\002\back.jpg","746","1074","752","1081","190470","176369",""
"003","C:\Users\Nicol\musiam-front\src\data\kannon100\003\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\003\back.jpg","752","1081","731","1076","191926","194367",""
"004","C:\Users\Nicol\musiam-front\src\data\kannon100\004\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\004\back.jpg","756","1081","748","1081","159041","170996",""
"005","C:\Users\Nicol\musiam-front\src\data\kannon100\005\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\005\back.jpg","752","1088","743","1092","186393","205260",""
"006","C:\Users\Nicol\musiam-front\src\data\kannon100\006\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\006\back.jpg","755","1080","743","1092","161267","206588",""
"007","C:\Users\Nicol\musiam-front\src\data\kannon100\007\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\007\back.jpg","752","1080","738","1076","186794","202547",""
"008","C:\Users\Nicol\musiam-front\src\data\kannon100\008\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\008\back.jpg","752","1083","749","1076","179264","171508",""
"009","C:\Users\Nicol\musiam-front\src\data\kannon100\009\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\009\back.jpg","749","1083","751","1084","156326","168436",""
"010","C:\Users\Nicol\musiam-front\src\data\kannon100\010\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\010\back.jpg","747","1074","746","1079","158404","193864",""
"011","C:\Users\Nicol\musiam-front\src\data\kannon100\011\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\011\back.jpg","756","1078","746","1083","159791","195942",""
"012","C:\Users\Nicol\musiam-front\src\data\kannon100\012\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\012\back.jpg","752","1084","749","1087","159307","188047",""
"013","C:\Users\Nicol\musiam-front\src\data\kannon100\013\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\013\back.jpg","752","1083","740","1085","187332","202463",""
"014","C:\Users\Nicol\musiam-front\src\data\kannon100\014\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\014\back.jpg","748","1081","747","1080","166229","208938",""
"015","C:\Users\Nicol\musiam-front\src\data\kannon100\015\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\015\back.jpg","752","1071","747","1080","185415","197621",""
"016","C:\Users\Nicol\musiam-front\src\data\kannon100\016\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\016\back.jpg","768","1069","737","1078","159748","193380",""
"017","C:\Users\Nicol\musiam-front\src\data\kannon100\017\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\017\back.jpg","38","42","739","1076","1040","188826","TINY_FRONT"
"018","C:\Users\Nicol\musiam-front\src\data\kannon100\018\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\018\back.jpg","754","1064","755","1065","189515","199895",""
"019","C:\Users\Nicol\musiam-front\src\data\kannon100\019\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\019\back.jpg","754","1067","756","1063","200258","215062",""
"020","C:\Users\Nicol\musiam-front\src\data\kannon100\020\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\020\back.jpg","763","1061","771","1065","180218","204135",""
"021","C:\Users\Nicol\musiam-front\src\data\kannon100\021\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\021\back.jpg","726","1056","731","1072","219489","238877",""
"022","C:\Users\Nicol\musiam-front\src\data\kannon100\022\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\022\back.jpg","731","1056","731","1072","226795","253504",""
"023","C:\Users\Nicol\musiam-front\src\data\kannon100\023\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\023\back.jpg","731","1072","726","1072","239016","258304",""
"024","C:\Users\Nicol\musiam-front\src\data\kannon100\024\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\024\back.jpg","726","1056","726","1056","228837","241914",""
"025","C:\Users\Nicol\musiam-front\src\data\kannon100\025\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\025\back.jpg","723","1072","726","1056","219260","223869",""
"026","C:\Users\Nicol\musiam-front\src\data\kannon100\026\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\026\back.jpg","723","1056","726","1056","231987","234791",""
"027","C:\Users\Nicol\musiam-front\src\data\kannon100\027\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\027\back.jpg","735","1072","735","1072","253467","250251",""
"028","C:\Users\Nicol\musiam-front\src\data\kannon100\028\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\028\back.jpg","726","1072","726","1072","233693","239698",""
"029","C:\Users\Nicol\musiam-front\src\data\kannon100\029\front.jpg","C:\Users\Nicol\musiam-front\src\data\kannon100\029\back.jpg","726","1072","726","1072","230071","230463",""
