number,status,reasons
1,OK,""
2,NEEDS_FIX,"注意書き無し"
3,NEEDS_FIX,"注意書き無し"
4,OK,""
5,OK,""
6,NEEDS_FIX,"注意書き無し"
7,NEEDS_FIX,"注意書き無し"
8,OK,""
9,NEEDS_FIX,"注意書き無し"
10,NEEDS_FIX,"注意書き無し"
11,NEEDS_FIX,"注意書き無し"
12,NEEDS_FIX,"注意書き無し"
13,NEEDS_FIX,"注意書き無し"
14,NEEDS_FIX,"注意書き無し"
15,NEEDS_FIX,"注意書き無し"
16,NEEDS_FIX,"注意書き無し"
17,NEEDS_FIX,"注意書き無し"
18,NEEDS_FIX,"注意書き無し"
19,NEEDS_FIX,"注意書き無し"
20,NEEDS_FIX,"注意書き無し"
21,OK,""
22,NEEDS_FIX,"注意書き無し"
23,NEEDS_FIX,"注意書き無し"
24,NEEDS_FIX,"注意書き無し"
25,NEEDS_FIX,"注意書き無し"
26,NEEDS_FIX,"注意書き無し"
27,OK,""
28,NEEDS_FIX,"注意書き無し"
29,NEEDS_FIX,"注意書き無し"
30,NEEDS_FIX,"注意書き無し"
31,NEEDS_FIX,"注意書き無し"
32,NEEDS_FIX,"注意書き無し"
33,NEEDS_FIX,"注意書き無し"
34,NEEDS_FIX,"注意書き無し"
35,NEEDS_FIX,"注意書き無し"
36,NEEDS_FIX,"注意書き無し"
37,NEEDS_FIX,"注意書き無し"
38,NEEDS_FIX,"注意書き無し"
39,NEEDS_FIX,"注意書き無し"
40,NEEDS_FIX,"注意書き無し"
41,NEEDS_FIX,"注意書き無し"
42,NEEDS_FIX,"注意書き無し"
43,NEEDS_FIX,"注意書き無し"
44,NEEDS_FIX,"注意書き無し"
45,NEEDS_FIX,"注意書き無し"
46,NEEDS_FIX,"注意書き無し"
47,NEEDS_FIX,"注意書き無し"
48,NEEDS_FIX,"注意書き無し"
49,NEEDS_FIX,"注意書き無し"
50,NEEDS_FIX,"注意書き無し"
51,NEEDS_FIX,"注意書き無し"
52,NEEDS_FIX,"注意書き無し"
53,NEEDS_FIX,"注意書き無し"
54,NEEDS_FIX,"注意書き無し"
55,NEEDS_FIX,"注意書き無し"
56,NEEDS_FIX,"注意書き無し"
57,NEEDS_FIX,"注意書き無し"
58,OK,""
59,NEEDS_FIX,"注意書き無し"
60,NEEDS_FIX,"注意書き無し"
61,NEEDS_FIX,"注意書き無し"
62,NEEDS_FIX,"注意書き無し"
63,NEEDS_FIX,"注意書き無し"
64,NEEDS_FIX,"注意書き無し"
65,NEEDS_FIX,"注意書き無し"
66,NEEDS_FIX,"注意書き無し"
67,OK,""
68,NEEDS_FIX,"注意書き無し"
69,OK,""
70,OK,""
71,NEEDS_FIX,"注意書き無し"
72,OK,""
73,NEEDS_FIX,"注意書き無し"
74,NEEDS_FIX,"注意書き無し"
75,NEEDS_FIX,"注意書き無し"
76,NEEDS_FIX,"注意書き無し"
77,OK,""
78,NEEDS_FIX,"注意書き無し"
79,NEEDS_FIX,"注意書き無し"
80,NEEDS_FIX,"注意書き無し"
81,NEEDS_FIX,"注意書き無し"
82,NEEDS_FIX,"注意書き無し"
83,NEEDS_FIX,"注意書き無し"
84,NEEDS_FIX,"注意書き無し"
85,NEEDS_FIX,"注意書き無し"
86,NEEDS_FIX,"注意書き無し"
87,NEEDS_FIX,"注意書き無し"
88,NEEDS_FIX,"注意書き無し"
89,NEEDS_FIX,"注意書き無し"
90,NEEDS_FIX,"注意書き無し"
91,NEEDS_FIX,"注意書き無し"
92,NEEDS_FIX,"注意書き無し"
93,NEEDS_FIX,"注意書き無し"
94,NEEDS_FIX,"注意書き無し"
95,NEEDS_FIX,"注意書き無し"
96,OK,""
97,NEEDS_FIX,"注意書き無し"
98,NEEDS_FIX,"注意書き無し"
99,OK,""
100,NEEDS_FIX,"見出しNG / 注意書き無し"
